NC LIVE resource usage report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Vendor,20-Jan,20-Jan,20-Jan,20-Jan,20-Feb,20-Feb,20-Feb,20-Feb,20-Mar,20-Mar,20-Mar,20-Mar,20-Apr,20-Apr,20-Apr,20-Apr,20-May,20-May,20-May,20-May,20-Jun,20-Jun,20-Jun,20-Jun,20-Jul,20-Jul,20-Jul,20-Jul,20-Aug,20-Aug,20-Aug,20-Aug,20-Sep,20-Sep,20-Sep,20-Sep,20-Oct,20-Oct,20-Oct,20-Oct,20-Nov,20-Nov,20-Nov,20-Nov,20-Dec,20-Dec,20-Dec,20-Dec,21-Jan,21-Jan,21-Jan,21-Jan,Totals,Totals,Totals,Totals
Source,Vendor,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews,Sessions,Searches,FT-Views,AbsPlusViews
ABI/INFORM Collection,ProQuest Company,0,577,0,0,0,"2,216",0,0,0,"1,716",0,0,0,"1,556",0,0,0,328,0,0,0,458,0,0,0,381,0,0,0,291,0,0,0,828,0,0,0,"1,551",0,0,0,"1,645",0,0,0,399,0,0,0,181,0,0,0,"12,127",0,0
"Accounting, Tax & Banking Collection",ProQuest Company,0,563,0,0,0,"2,195",0,0,0,"1,711",0,0,0,"1,555",0,0,0,327,0,0,0,458,0,0,0,384,0,0,0,277,0,0,0,823,0,0,0,"1,543",0,0,0,"1,636",0,0,0,399,0,0,0,181,0,0,0,"12,052",0,0
Advanced Technologies & Aerospace Database,ProQuest Company,0,562,7,7,0,"2,191",53,65,0,"1,711",49,51,0,"1,556",37,41,0,327,0,1,0,458,3,3,0,377,1,2,0,277,1,1,0,826,5,6,0,"1,534",63,72,0,"1,634",34,40,0,399,11,11,0,181,0,0,0,"12,033",264,300
African American Poetry,ProQuest Company,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,113,0,0,0,117,0,0,0,114,0,0,0,65,0,0,0,201,0,0,0,368,0,0,0,458,0,0,0,88,0,0,0,36,1,1,0,"1,965",1,1
Agricultural & Environmental Science Collection,ProQuest Company,0,138,0,0,0,382,0,0,0,405,0,0,0,405,0,0,0,113,0,0,0,117,0,0,0,114,0,0,0,67,0,0,0,212,0,0,0,379,0,0,0,469,0,0,0,88,0,0,0,36,0,0,0,"2,925",0,0
American Poetry,ProQuest Company,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,113,0,0,0,117,0,0,0,114,0,0,0,65,0,0,0,204,1,2,0,375,2,4,0,454,0,0,0,88,0,0,0,35,0,0,0,"1,970",3,6
Arts & Humanities Database,ProQuest Company,0,563,29,29,0,"2,203",163,180,0,"1,714",125,138,0,"1,562",174,184,0,327,22,26,0,460,67,77,0,377,30,30,0,277,4,4,0,838,144,155,0,"1,565",147,157,0,"1,636",96,108,0,399,23,27,0,181,9,9,0,"12,102","1,033","1,124"
Asian & European Business Collection,ProQuest Company,0,566,0,0,0,"2,187",0,0,0,"1,711",0,0,0,"1,555",0,0,0,327,0,0,0,458,0,0,0,377,0,0,0,277,0,0,0,823,0,0,0,"1,532",0,0,0,"1,634",0,0,0,399,0,0,0,181,0,0,0,"12,027",0,0
Australia & New Zealand Database,ProQuest Company,0,562,2,2,0,"2,187",13,15,0,"1,711",3,3,0,"1,555",5,5,0,327,0,0,0,458,7,7,0,377,1,1,0,277,0,0,0,823,8,8,0,"1,532",1,1,0,"1,634",7,7,0,399,0,0,0,181,0,0,0,"12,023",47,49
